,Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
0,63,1,True,True,True,Shahran,1850000000.0,61666.67
1,60,1,True,True,True,Shahran,1850000000.0,61666.67
2,79,2,True,True,True,Pardis,550000000.0,18333.33
3,95,2,True,True,True,Shahrake Qods,902500000.0,30083.33
4,123,2,True,True,True,Shahrake Gharb,7000000000.0,233333.33
5,70,2,True,True,False,North Program Organization,2050000000.0,68333.33
6,87,2,True,True,True,Pardis,600000000.0,20000.0
7,59,1,True,True,True,Shahran,2150000000.0,71666.67
8,54,2,True,True,False,Andisheh,493000000.0,16433.33
9,71,1,True,True,True,West Ferdows Boulevard,2370000000.0,79000.0
10,68,2,True,True,True,West Ferdows Boulevard,2450000000.0,81666.67
11,64,1,True,True,True,Narmak,2100000000.0,70000.0
12,54,1,False,True,True,Narmak,1690000000.0,56333.33
13,136,3,True,True,True,Saadat Abad,11000000000.0,366666.67
14,95,2,True,True,True,Zafar,5000000000.0,166666.67
15,63,1,False,True,False,Islamshahr,570000000.0,19000.0
16,155,3,True,True,True,Narmak,6700000000.0,223333.33
17,64,2,False,True,False,Pirouzi,1450000000.0,48333.33
18,140,3,True,True,True,West Ferdows Boulevard,6400000000.0,213333.33
19,42,1,False,True,False,Pirouzi,1390000000.0,46333.33
20,93,2,True,True,True,Shahrake Gharb,7000000000.0,233333.33
21,87,2,True,True,True,Shahrake Shahid Bagheri,2500000000.0,83333.33
22,65,1,True,True,True,Shahran,1880000000.0,62666.67
23,99,2,True,True,True,Moniriyeh,2277000000.0,75900.0
24,105,2,True,True,True,Saadat Abad,7150000000.0,238333.33
25,160,3,True,True,True,Velenjak,14945000000.0,498166.67
26,77,2,True,True,True,Amirieh,1771000000.0,59033.33
27,123,2,True,True,True,Pirouzi,4059000000.0,135300.0
28,110,2,True,True,True,Southern Janatabad,630000000.0,21000.0
29,100,2,True,True,True,West Ferdows Boulevard,3200000000.0,106666.67
30,90,2,False,True,False,Salsabil,1500000000.0,50000.0
31,49,1,True,True,True,West Ferdows Boulevard,2200000000.0,73333.33
32,96,2,True,True,True,Zargandeh,7872000000.0,262400.0
33,67,2,True,True,False,Feiz Garden,2350000000.0,78333.33
34,68,2,True,True,True,West Ferdows Boulevard,2500000000.0,83333.33
35,62,1,True,False,True,Water Organization,2150000000.0,71666.67
36,55,1,True,True,True,West Ferdows Boulevard,2150000000.0,71666.67
37,110,2,True,True,True,West Ferdows Boulevard,3750000000.0,125000.0
38,129,2,True,True,True,West Ferdows Boulevard,5250000000.0,175000.0
39,109,2,True,True,True,West Ferdows Boulevard,4830000000.0,161000.0
40,58,1,True,True,True,Saadat Abad,3400000000.0,113333.33
41,55,1,True,True,True,Saadat Abad,3850000000.0,128333.33
42,150,2,False,True,True,Shahrake Qods,1200000000.0,40000.0
44,130,3,True,True,False,ShahrAra,5000000000.0,166666.67
45,88,2,True,True,True,Gisha,4750000000.0,158333.33
46,51,1,True,True,True,Gisha,2980000000.0,99333.33
47,113,3,True,True,False,Shahrake Gharb,7000000000.0,233333.33
48,110,2,True,True,True,Ray,2035000000.0,67833.33
49,60,1,True,True,True,Abbasabad,2460000000.0,82000.0
50,98,2,True,True,True,Pardis,540000000.0,18000.0
51,62,2,False,False,True,Ostad Moein,1450000000.0,48333.33
52,150,3,True,True,True,Farmanieh,10000000000.0,333333.33
53,75,2,False,False,False,Parand,635000000.0,21166.67
54,61,1,True,True,False,Punak,2030000000.0,67666.67
55,61,1,True,True,False,Punak,2030000000.0,67666.67
56,72,2,True,True,True,Shahran,2350000000.0,78333.33
57,100,2,True,True,True,Qasr-od-Dasht,3000000000.0,100000.0
58,122,3,True,True,True,Aqdasieh,7200000000.0,240000.0
59,215,3,True,True,True,Pakdasht,1750000000.0,58333.33
60,101,2,True,True,True,Railway,3300000000.0,110000.0
61,67,2,True,True,True,Punak,2800000000.0,93333.33
62,72,2,True,True,False,Punak,2200000000.0,73333.33
63,63,1,True,True,False,Punak,2200000000.0,73333.33
64,75,2,True,True,False,Punak,2200000000.0,73333.33
65,109,2,True,True,True,Shahran,3500000000.0,116666.67
66,122,2,True,True,True,Aqdasieh,7000000000.0,233333.33
67,70,1,True,True,True,Central Janatabad,3100000000.0,103333.33
68,60,1,True,True,True,West Ferdows Boulevard,2450000000.0,81666.67
69,53,1,True,True,False,East Ferdows Boulevard,1920000000.0,64000.0
70,90,1,False,True,False,Pakdasht KhatunAbad,850000000.0,28333.33
71,72,2,True,True,True,Amirieh,1650000000.0,55000.0
72,74,2,True,True,True,Amirieh,1700000000.0,56666.67
73,88,3,False,False,True,Parand,560000000.0,18666.67
74,63,1,True,True,True,Punak,2150000000.0,71666.67
75,114,3,True,True,True,Sattarkhan,5500000000.0,183333.33
76,151,3,True,True,True,Saadat Abad,10200000000.0,340000.0
77,42,1,True,False,True,Shahran,1760000000.0,58666.67
78,74,2,True,True,True,Amirieh,1700000000.0,56666.67
79,88,3,False,False,True,Parand,560000000.0,18666.67
80,63,1,True,True,True,Punak,2150000000.0,71666.67
81,114,3,True,True,True,Sattarkhan,5500000000.0,183333.33
82,151,3,True,True,True,Saadat Abad,10200000000.0,340000.0
83,42,1,True,False,True,Shahran,1760000000.0,58666.67
84,300,3,True,True,False,Baghestan,1500000000.0,50000.0
85,110,2,True,True,True,West Ferdows Boulevard,3730000000.0,124333.33
86,100,2,False,False,False,Shahrake Qods,620000000.0,20666.67
87,140,1,False,False,False,Shahryar,580000000.0,19333.33
88,70,2,True,True,True,Northern Janatabad,3050000000.0,101666.67
89,60,2,True,True,False,West Ferdows Boulevard,2000000000.0,66666.67
90,76,2,True,True,True,North Program Organization,2600000000.0,86666.67
91,148,3,True,True,True,Daryan No,5990000000.0,199666.67
92,75,2,True,True,True,North Program Organization,2300000000.0,76666.67
93,40,1,True,True,False,Pirouzi,1300000000.0,43333.33
94,65,2,True,True,True,Southern Program Organization,2270000000.0,75666.67
95,140,3,True,True,True,Rudhen,4000000000.0,133333.33
96,110,2,True,True,True,West Pars,4000000000.0,133333.33
97,70,2,True,False,True,Afsarieh,1650000000.0,55000.0
98,128,3,True,True,True,Marzdaran,6700000000.0,223333.33
99,94,2,True,True,True,Parand,580000000.0,19333.33
100,67,1,True,True,True,Punak,2300000000.0,76666.67
101,75,1,True,True,True,Shahrake Qods,650000000.0,21666.67
102,130,2,True,True,True,Dorous,16900000000.0,563333.33
103,40,0,False,False,False,Shahrake Qods,248000000.0,8266.67
104,97,2,True,True,True,Pardis,510000000.0,17000.0
105,110,2,True,True,True,Shahran,3850000000.0,128333.33
106,150,3,True,True,True,Sadeghieh,6000000000.0,200000.0
107,75,2,False,False,False,Chahardangeh,780000000.0,26000.0
108,137,3,True,True,True,ShahrAra,7200000000.0,240000.0
109,85,2,True,True,True,Parand,410000000.0,13666.67
110,68,2,False,True,False,Pakdasht,430000000.0,14333.33
111,78,2,False,True,False,Baqershahr,800000000.0,26666.67
112,85,2,True,True,True,Parand,545000000.0,18166.67
113,100,2,True,True,False,Parand,1280000000.0,42666.67
114,71,2,True,True,True,Punak,2800000000.0,93333.33
115,140,3,True,True,True,Gisha,11200000000.0,373333.33
116,136,3,True,True,False,Parand,750000000.0,25000.0
117,48,1,False,False,False,Jeyhoon,850000000.0,28333.33
118,100,2,True,True,True,Lavizan,3300000000.0,110000.0
119,82,2,True,False,True,Shams Abad,3280000000.0,109333.33
120,120,3,True,True,True,Fatemi,4800000000.0,160000.0
121,139,3,True,True,True,Gisha,7300000000.0,243333.33
122,110,3,True,True,True,Keshavarz Boulevard,3950000000.0,131666.67
123,78,2,False,False,True,Parand,370000000.0,12333.33
124,79,2,False,False,False,Baghestan,750000000.0,25000.0
125,66,2,True,True,True,Salsabil,1725000000.0,57500.0
126,78,2,True,True,True,Kahrizak,780000000.0,26000.0
127,85,2,True,True,True,Shahryar,1419000000.0,47300.0
128,100,2,True,True,False,Qarchak,1200000000.0,40000.0
129,80,2,True,True,True,Northren Jamalzadeh,3600000000.0,120000.0
130,44,1,True,True,False,Salsabil,1050000000.0,35000.0
131,120,2,True,True,False,Shahryar,1200000000.0,40000.0
132,50,1,False,True,False,Shahrake Qods,340000000.0,11333.33
133,121,3,True,True,False,Ostad Moein,3300000000.0,110000.0
134,80,2,True,True,True,Azarbaijan,2800000000.0,93333.33
135,70,2,False,True,True,Bahar,1200000000.0,40000.0
136,160,1,False,False,False,Qarchak,3600000.0,120.0
137,40,0,False,False,False,Pakdasht,165000000.0,5500.0
138,88,2,True,True,True,Railway,2860000000.0,95333.33
139,141,3,True,True,True,Persian Gulf Martyrs Lake,3810000000.0,127000.0
140,140,3,True,True,True,Persian Gulf Martyrs Lake,1790000000.0,59666.67
141,120,2,True,True,True,Persian Gulf Martyrs Lake,1530000000.0,51000.0
142,66,2,False,True,False,Beryanak,1000000000.0,33333.33
143,70,2,True,True,True,Punak,3500000000.0,116666.67
144,75,2,True,False,True,Heshmatieh,3000000000.0,100000.0
145,70,2,False,True,True,Elm-o-Sanat,1800000000.0,60000.0
146,150,3,True,True,True,Saadat Abad,20000000000.0,666666.67
147,95,2,True,True,True,Golestan,950000000.0,31666.67
148,127,2,True,True,True,Southern Janatabad,6000000000.0,200000.0
149,123,3,True,True,True,Shahr-e-Ziba,3700000000.0,123333.33
